Turned OFF
         213968 function calls (208766 primitive calls) in 4.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    792/1    0.279    0.000    4.228    4.228 {built-in method builtins.exec}
        1    0.001    0.001    4.228    4.228 esphome-lights.py:1()
        1    0.000    0.000    4.185    4.185 esphome-lights.py:62(connect_and_control)
        1    0.000    0.000    2.678    2.678 runners.py:160(run)
        3    0.000    0.000    2.676    0.892 base_events.py:618(run_until_complete)
        3    0.000    0.000    2.675    0.892 base_events.py:594(run_forever)
       25    0.001    0.000    2.675    0.107 base_events.py:1859(_run_once)
        1    0.000    0.000    2.674    2.674 runners.py:86(run)
       25    0.001    0.000    2.633    0.105 selectors.py:451(select)
       25    2.632    0.105    2.632    0.105 {method 'poll' of 'select.epoll' objects}
       39    0.004    0.000    2.107    0.054 __init__.py:1()
    295/6    0.011    0.000    1.541    0.257 :1165(_find_and_load)
    295/6    0.008    0.000    1.540    0.257 :1120(_find_and_load_unlocked)
    281/6    0.008    0.000    1.535    0.256 :666(_load_unlocked)
    222/6    0.004    0.000    1.534    0.256 :934(exec_module)
   710/12    0.003    0.000    1.528    0.127 :233(_call_with_frames_removed)
    54/19    0.001    0.000    1.122    0.059 :1239(exec_module)
    54/19    0.035    0.001    1.122    0.059 {built-in method _imp.exec_dynamic}
        1    0.001    0.001    1.120    1.120 client.py:1()
        1    0.001    0.001    0.640    0.640 core.py:1()
        1    0.003    0.003    0.634    0.634 model.py:1()
       95    0.001    0.000    0.531    0.006 dataclasses.py:1221(wrap)
       95    0.025    0.000    0.530    0.006 dataclasses.py:884(_process_class)
       95    0.001    0.000    0.508    0.005 dataclasses.py:1204(dataclass)
    85/34    0.002    0.000    0.381    0.011 {built-in method builtins.__import__}
   229/96    0.002    0.000    0.324    0.003 :1207(_handle_fromlist)
      568    0.015    0.000    0.297    0.001 dataclasses.py:413(_create_fn)
  805/799    0.047    0.000    0.218    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.171    0.171 base_events.py:1()
        1    0.000    0.000    0.170    0.170 host_resolver.py:1()
      222    0.011    0.000    0.161    0.001 :1007(get_code)
      292    0.020    0.000    0.159    0.001 :1054(_find_spec)
        1    0.000    0.000    0.153    0.153 api_pb2.py:1()
  281/275    0.003    0.000    0.133    0.000 :566(module_from_spec)
      289    0.002    0.000    0.118    0.000 :1499(find_spec)
      289    0.006    0.000    0.116    0.000 :1467(_get_spec)
       95    0.005    0.000    0.106    0.001 dataclasses.py:528(_init_fn)
      522    0.027    0.000    0.100    0.000 :1607(find_spec)
        2    0.000    0.000    0.098    0.049 backend.py:1()
       93    0.003    0.000    0.092    0.001 dataclasses.py:599(_frozen_get_del_attr)
    54/53    0.001    0.000    0.087    0.002 :1231(create_module)
        1    0.000    0.000    0.087    0.087 descriptor_pool.py:1()
    54/53    0.074    0.001    0.086    0.002 {built-in method _imp.create_dynamic}
      222    0.004    0.000    0.082    0.000 :727(_compile_bytecode)
        1    0.000    0.000    0.078    0.078 python_message.py:1()
      222    0.076    0.000    0.076    0.000 {built-in method marshal.loads}
  289/103    0.014    0.000    0.075    0.001 inspect.py:2435(_signature_from_callable)
       92    0.001    0.000    0.073    0.001 inspect.py:3261(signature)
       92    0.001    0.000    0.072    0.001 inspect.py:3007(from_callable)
      173    0.003    0.000    0.070    0.000 __init__.py:272(_compile)
       63    0.000    0.000    0.067    0.001 __init__.py:225(compile)
       92    0.009    0.000    0.065    0.001 enum.py:499(__new__)
       47    0.001    0.000    0.064    0.001 _compiler.py:740(compile)
        1    0.000    0.000    0.059    0.059 net.py:1()
        1    0.000    0.000    0.059    0.059 diffie_hellmans.py:1()
       95    0.002    0.000    0.058    0.001 dataclasses.py:588(_repr_fn)
        1    0.000    0.000    0.057    0.057 _core.py:1()
        1    0.000    0.000    0.056    0.056 timezone.py:1()
        1    0.000    0.000    0.054    0.054 text_format.py:1()
  868/513    0.020    0.000    0.052    0.000 {built-in method __new__ of type object at 0x7f9672a380}
        1    0.000    0.000    0.046    0.046 _engine.py:1()
      222    0.004    0.000    0.043    0.000 :1127(get_data)
       99    0.001    0.000    0.042    0.000 dataclasses.py:624(_cmp_fn)
        2    0.000    0.000    0.042    0.021 base.py:1()
        2    0.001    0.000    0.042    0.021 decoder.py:1()
      281    0.007    0.000    0.041    0.000 :493(_init_module_attrs)
        1    0.001    0.001    0.040    0.040 ssl.py:1()
       32    0.000    0.000    0.040    0.001 events.py:82(_run)
       32    0.001    0.000    0.039    0.001 {method 'run' of '_contextvars.Context' objects}
       47    0.001    0.000    0.037    0.001 _parser.py:979(parse)
      103    0.013    0.000    0.035    0.000 inspect.py:2331(_signature_from_function)
   131/47    0.003    0.000    0.035    0.001 _parser.py:456(_parse_sub)
   157/54    0.013    0.000    0.034    0.001 _parser.py:516(_parse)
       93    0.001    0.000    0.033    0.000 dataclasses.py:845(_hash_add)
     1235    0.003    0.000    0.032    0.000 :140(_path_stat)
      353    0.019    0.000    0.032    0.000 enum.py:242(__set_name__)
        1    0.000    0.000    0.031    0.031 _posix.py:1()
        1    0.001    0.001    0.031    0.031 ssh.py:1()
       93    0.001    0.000    0.030    0.000 dataclasses.py:638(_hash_fn)
     1238    0.029    0.000    0.029    0.000 {built-in method posix.stat}
        1    0.001    0.001    0.029    0.029 socket.py:1()
       13    0.002    0.000    0.029    0.002 enum.py:895(_convert_)
        1    0.000    0.000    0.028    0.028 _base.py:1()
        8    0.000    0.000    0.027    0.003 esphome-lights.py:72(run)
     8940    0.024    0.000    0.027    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.026    0.026 uuid.py:1()
     2676    0.010    0.000    0.026    0.000 :126(_path_join)
        2    0.000    0.000    0.026    0.013 _common.py:1()
  149/132    0.001    0.000    0.026    0.000 typing.py:373(inner)
       47    0.001    0.000    0.025    0.001 _compiler.py:573(_code)
        2    0.000    0.000    0.025    0.012 util.py:1()
      444    0.009    0.000    0.025    0.000 :437(cache_from_source)
      331    0.009    0.000    0.024    0.000 dataclasses.py:723(_get_field)
        4    0.001    0.000    0.024    0.006 utils.py:1()
        1    0.000    0.000    0.023    0.023 containers.py:1()
        1    0.000    0.000    0.023    0.023 argparse.py:1742(__init__)
       10    0.000    0.000    0.023    0.002 argparse.py:1424(add_argument)
       92    0.006    0.000    0.022    0.000 inspect.py:3215(__str__)
      498    0.002    0.000    0.022    0.000 :392(cached)
       89    0.017    0.000    0.022    0.000 dataclasses.py:1149(_add_slots)
        1    0.000    0.000    0.021    0.021 json_format.py:1()
       10    0.000    0.000    0.021    0.002 argparse.py:2597(_get_formatter)
       10    0.000    0.000    0.021    0.002 argparse.py:164(__init__)
        1    0.000    0.000    0.020    0.020 platform.py:1()
        1    0.000    0.000    0.020    0.020 unix.py:1()
       18    0.009    0.001    0.020    0.001 enum.py:1668(convert_class)
        2    0.000    0.000    0.020    0.010 hashes.py:1()
      276    0.003    0.000    0.020    0.000 :567(_get_cached)
   300/47    0.007    0.000    0.020    0.000 _compiler.py:37(_compile)
      588    0.009    0.000    0.020    0.000 enum.py:367(__setitem__)
       74    0.002    0.000    0.019    0.000 enum.py:484(__prepare__)
      295    0.002    0.000    0.019    0.000 :169(__enter__)
        1    0.000    0.000    0.018    0.018 descriptor.py:1()
      222    0.018    0.000    0.018    0.000 {built-in method io.open_code}
